technical_signal_num,technical_confidence,technical_missing,technical_freshness_sec,technical_trend_strength,technical_volatility_regime,macro_signal_num,macro_confidence,macro_missing,macro_freshness_sec,macro_regime,macro_event_risk_score,sentiment_signal_num,sentiment_confidence,sentiment_missing,sentiment_freshness_sec,sentiment_score,news_volume,sentiment_momentum,agreement_ratio,conflict_index,weighted_confidence,missing_agent_count,stale_agent_count,timeframe_sec,target
1.0,0.9004050011485915,0.0,10.0,0.9004050011485915,0.9004050011485915,1.0,0.6367427020098004,0.0,176355.0,0.6367427020098004,0.8366710506673198,0.0,0.48286183544091,0.0,1600.0,0.0,8.0,-0.08720298290079796,0.75,0.25,0.673336512866434,0.0,1.0,14400.0,1
0.0,0.5050158977067001,0.0,10.0,0.0,0.5050158977067001,0.0,0.5298620489773275,0.0,32913.0,0.0,0.5115550615897286,-1.0,0.3188808528698951,0.0,6248.0,-0.3188808528698951,12.0,-0.39882396450573004,0.75,0.25,0.4512529331846409,0.0,0.0,3600.0,0
0.0,0.0,1.0,999999.0,0.0,0.0,-1.0,0.34878628975221315,0.0,74163.0,-0.34878628975221315,0.5866673024398924,0.0,0.45238587229576244,0.0,12925.0,0.0,15.0,0.10127514711627131,0.75,0.25,0.2670573873493252,1.0,1.0,3600.0,-1
1.0,0.36872184441455297,0.0,7.0,0.36872184441455297,0.36872184441455297,1.0,0.944131790923334,0.0,181737.0,0.944131790923334,0.1810723339287017,-1.0,0.7904932560408716,0.0,7578.0,-0.7904932560408716,15.0,-0.845788001345447,0.5,0.5,0.7011156304595861,0.0,2.0,3600.0,1
-1.0,0.35559452175786277,0.0,4.0,0.35559452175786277,0.35559452175786277,-1.0,0.41360292237128143,0.0,208274.0,-0.41360292237128143,0.8081867607498511,-1.0,0.5806312871228254,0.0,3035.0,-0.5806312871228254,2.0,-0.6242226928527822,1.0,0.0,0.4499429104173232,0.0,1.0,3600.0,-1
1.0,0.7944355291918626,0.0,7.0,0.7944355291918626,0.7944355291918626,1.0,0.46595050873442845,0.0,175164.0,0.46595050873442845,0.4021243665026458,0.0,0.36495375961846066,0.0,17724.0,0.0,14.0,-0.025009054032987522,0.75,0.25,0.5417799325149172,0.0,2.0,3600.0,1
1.0,0.42452498215332846,0.0,1.0,0.42452498215332846,0.42452498215332846,0.0,0.4533452456215015,0.0,148243.0,0.0,0.579744478645932,1.0,0.4594636896285585,0.0,3564.0,0.4594636896285585,4.0,0.4405216432497233,0.75,0.25,0.44577797246779616,0.0,0.0,1.0,1
1.0,0.6951191893798151,0.0,5.0,0.6951191893798151,0.6951191893798151,-0.0,0.0,1.0,999999.0,-0.0,0.846058766130517,1.0,0.8888994573813163,0.0,1515.0,0.8888994573813163,14.0,0.9573930334033575,0.75,0.25,0.5280062155870437,1.0,1.0,14400.0,1
-1.0,0.7884847137923126,0.0,19.0,0.7884847137923126,0.7884847137923126,-1.0,0.7963974552702946,0.0,71283.0,-0.7963974552702946,0.47938915110509417,1.0,0.5394115170260798,0.0,6862.0,0.5394115170260798,13.0,0.41841107730010935,0.5,0.5,0.7080978953628957,0.0,0.0,14400.0,-1
0.0,0.37030778932467273,0.0,3.0,0.0,0.37030778932467273,1.0,0.5972643696355687,0.0,15301.0,0.5972643696355687,0.27446464428541306,1.0,0.5458715007200824,0.0,2009.0,0.5458715007200824,14.0,0.5270599014026519,0.5,0.5,0.5044812198934413,0.0,0.0,14400.0,1
0.0,0.6327070814617797,0.0,14.0,0.0,0.6327070814617797,-1.0,0.9210249720687083,0.0,135411.0,-0.9210249720687083,0.2654074249773968,0.0,0.0,1.0,999999.0,0.0,8.0,0.11623719492089837,0.75,0.25,0.5179106845101626,1.0,1.0,3600.0,-1
1.0,0.781015720301079,0.0,0.0,0.781015720301079,0.781015720301079,1.0,0.3343091975111871,0.0,134262.0,0.3343091975111871,0.5663260069851919,1.0,0.4540513840915708,0.0,7836.0,0.4540513840915708,12.0,0.6673265514707252,1.0,0.0,0.5231254339679456,0.0,1.0,14400.0,1
1.0,0.9105305223485555,0.0,14.0,0.9105305223485555,0.9105305223485555,1.0,0.8808857477940737,0.0,192779.0,0.8808857477940737,0.2912040556225216,-0.0,0.0,1.0,999999.0,-0.0,6.0,-0.1356638688383702,0.75,0.25,0.5971387567142097,1.0,2.0,3600.0,1
1.0,0.5385149633790436,0.0,5.0,0.5385149633790436,0.5385149633790436,1.0,0.33927776819730343,0.0,57803.0,0.33927776819730343,0.3385499244317567,0.0,0.7767533128501865,0.0,3046.0,0.0,1.0,0.033100624813172407,0.75,0.25,0.5515153481421778,0.0,0.0,14400.0,1
0.0,0.9637564137011281,0.0,14.0,0.0,0.9637564137011281,-1.0,0.5542349523574663,0.0,213370.0,-0.5542349523574663,0.2348051622524724,-1.0,0.5417841952918423,0.0,4838.0,-0.5417841952918423,7.0,-0.5607953570111008,0.5,0.5,0.6865918537834789,0.0,1.0,3600.0,-1
-1.0,0.8820611447856094,0.0,9.0,0.8820611447856094,0.8820611447856094,1.0,0.3351031709447183,0.0,118993.0,0.3351031709447183,0.44628683540267644,-0.0,0.0,1.0,999999.0,-0.0,3.0,-0.00987941489031076,0.25,0.75,0.40572143857677584,1.0,1.0,86400.0,-1
